Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 timestamp.py:87(parse_human_readable)
        2    0.000    0.000    0.002    0.001 {built-in method time.strptime}
     5255    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
       93    0.002    0.000    0.002    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.002    0.002 artists.py:316(_read_artist_mappings_from_file)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       31    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
    21901    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    21653    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
      151    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      163    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      115    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
   200/31    0.001    0.000    0.001    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.001    0.001 runpy.py:103(_get_module_details)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
     1002    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      323    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
        1    0.000    0.000    0.001    0.001 artists.py:154(<listcomp>)
      356    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.001    0.001    0.001    0.001 database.py:223(<listcomp>)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.001    0.001 xmlreader.py:1(<module>)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        9    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.001    0.001 _util.py:599(cdata)
        1    0.000    0.000    0.001    0.001 {method 'join' of 'bytes' objects}
      257    0.000    0.000    0.001    0.000 _util.py:608(<genexpr>)
      338    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1053e2710}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _strptime.py:559(_strptime_time)
        2    0.000    0.000    0.001    0.000 _strptime.py:309(_strptime)
     1002    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.001    0.001 _strptime.py:261(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:471(EasyMP3)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
     4511    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
